RDMD_ID,Region,"Household ID","Family Size","Urban / Rural"
567,17,590100800100000500047,003,2
568,17,590100800100001410134,005,2
569,17,590100300000003898004,004,2
570,17,590100300000000410041,005,2
571,17,590100300000001800167,002,2
572,17,590100300000002220206,007,2
573,17,590100300000002500234,001,2
574,17,590100300000001380126,003,2
575,17,590100300000001940178,004,2
576,17,590100300000002640248,002,2
577,17,590100300000003610338,003,2
578,17,590100300000003050287,004,2
579,17,590100300000002360220,004,2
580,17,590100300000000968001,003,2
581,17,590100300000003478002,005,2
582,17,590100300000000140014,001,2
583,17,590100300000001520140,007,2
584,17,590100300000003190301,006,2
585,17,590100300000004030375,002,2
586,17,590100300000001660154,002,2
587,17,590100300000000260026,004,2
588,17,590100300000002770260,003,2
589,17,590100300000002910273,001,2
590,17,590100300000000820074,004,2
591,17,590100300000003750350,009,2
592,17,590100300000000100010,005,2
593,17,590100300000003330315,006,2
594,17,590100300000000558003,003,2
595,17,532400800100000390037,002,2
596,17,532400800100001340113,010,2
597,17,532400800100000770064,009,2
598,17,532400800100000010001,003,2
599,17,532400800100001720151,003,2
600,17,532400800100000960080,003,2
601,17,532400800100000200019,005,2
602,17,532400800100001150098,005,2
603,17,532400800100000588001,004,2
604,17,532400300100001790170,004,2
605,17,532400300100000590055,003,2
606,17,532400300100002240210,005,2
607,17,532400300100002690255,006,2
608,17,532400300100000440042,003,2
609,17,532400300100000140014,002,2
610,17,532400300100001040096,007,2
611,17,532400300100000130013,004,2
612,17,532400300100000280028,006,2
613,17,532400300100002390225,004,2
614,17,532400300100001190110,003,2
615,17,532400300100000290029,005,2
616,17,532400300100000740069,005,2
617,17,532400300100002090197,002,2
618,17,532400300100001490140,005,2
619,17,532400300100000898001,003,2
620,17,532400300100001340125,003,2
621,17,532400300100001940183,005,2
622,17,532301100400101018006,006,1
623,17,532301100400100638002,006,1
624,17,532301100400101590157,005,1
625,17,532301100400100060006,004,1
626,17,532301100400100828005,007,1
627,17,532301100400100458001,004,1
628,17,532301100400101398003,004,1
629,17,532301100400100268004,007,1
630,17,532301100400100080007,004,1
631,17,532000800400200260026,004,2
632,17,532000800400201100110,008,2
633,17,532000800400200540054,008,2
634,17,532000800400200680068,007,2
635,17,532000800400201520152,007,2
636,17,532000800400200960096,006,2
637,17,532000800400201240124,004,2
638,17,532000800400200120012,001,2
639,17,532000800400200080008,005,2
640,17,532000800400200820082,004,2
641,17,532000800400201660166,006,2
642,17,532000800400201380138,005,2
643,17,532000800200001520128,007,2
644,17,532000800200000208001,003,2
645,17,532000800200000640051,003,2
646,17,532000800200000428002,005,2
647,17,532000800200002400211,002,2
648,17,532000800200001080089,005,2
649,17,532000800200000868003,006,2
650,17,532000800200001300110,008,2
651,17,532000800200002180189,002,2
652,17,532000800200002848005,002,2
653,17,532000800200001740147,004,2
654,17,532000800200001968004,005,2
655,17,532000800200000600048,005,2
656,17,532000300200002130191,002,2
657,17,532000300200002010179,008,2
658,17,532000300200001750154,007,2
659,17,532000300200001630143,004,2
660,17,532000300200000240018,003,2
661,17,532000300200000620051,005,2
662,17,532000300200000870074,004,2
663,17,532000300200000748001,006,2
664,17,532000300200001500131,004,2
665,17,532000300200001250109,006,2
666,17,532000300200000350028,007,2
667,17,532000300200001120097,004,2
668,17,532000300200000480038,005,2
669,17,532000300200000998002,002,2
670,17,532000300200000080008,008,2
671,17,532000300200000220017,006,2
672,17,532000300200001880166,006,2
673,17,531900800300101570138,004,1
674,17,531900800300100810067,002,1
675,17,531900800300100010001,004,1
676,17,531900800300100100008,006,1
677,17,531900800300100900076,008,1
678,17,531900800300101280110,007,1
679,17,531900800300100110009,002,1
680,17,531900800300100220019,003,1
681,17,531900800300101000084,002,1
682,17,531900800300100420036,007,1
683,17,531900800300101470129,002,1
684,17,531900800300100710059,006,1
685,17,531900800300101850164,013,1
686,17,531900800300100620051,004,1
687,17,531900800300101380120,002,1
688,17,531900800300100020002,003,1
689,17,531900800300101760156,005,1
690,17,531900800300101090093,005,1
691,17,531900800300100310025,007,1
692,17,531900500100000400040,010,2
693,17,531900500100001008002,004,2
694,17,531900500100002500236,005,2
695,17,531900500100000340034,004,2
696,17,531900500100000850085,005,2
697,17,531900500100000108001,003,2
698,17,531900500100001600149,004,2
699,17,531900500100000040004,007,2
700,17,531900500100001158003,002,2
701,17,531900500100000550055,002,2
702,17,531900500100001750162,007,2
703,17,531900500100001300126,003,2
704,17,531900500100000700070,003,2
705,17,531900500100002350221,002,2
706,17,531900500100000250025,001,2
707,17,531900500100002200206,003,2
708,17,531900500100001900176,003,2
709,17,531900200000001930164,008,2
710,17,531900200000000930079,003,2
711,17,531900200000001430122,006,2
712,17,531900200000000178001,004,2
713,17,531900200000002930253,004,2
714,17,531900200000000270022,008,2
