RDMD_ID,Region,"Household ID","H5 - Reported incident to authority","I4 - Type of construction materials of the floor","I7 - Presence electricity in the building/house"
704,17,531900500100000700070," ",2,1
705,17,531900500100002350221," ",1,1
706,17,531900500100000250025," ",1,1
707,17,531900500100002200206," ",4,2
708,17,531900500100001900176," ",1,1
709,17,531900200000001930164," ",1,1
710,17,531900200000000930079," ",4,1
711,17,531900200000001430122," ",1,1
712,17,531900200000000178001," ",5,1
713,17,531900200000002930253," ",4,1
714,17,531900200000000270022," ",4,1
715,17,531900200000002430208," ",4,2
716,17,531900200000000670057," ",1,1
717,17,531900200000003688003," ",4,1
718,17,531900200000003430299," ",4,1
719,17,531900200000000420036," ",1,1
720,17,531900200000000520045," ",2,1
721,17,531900200000001680145," ",1,2
722,17,531900200000002188002," ",4,2
723,17,531900200000002680232," ",4,1
724,17,531900200000001180100," ",4,1
725,17,531800100200000090009," ",4,1
726,17,531800100200002180195," ",4,1
727,17,531800100200001420134," ",1,1
728,17,531800100200000850078," ",1,1
729,17,531800100200000660061," ",4,1
730,17,531800100200002370214," ",4,1
731,17,531800100200001040097," ",1,1
732,17,531800100200000280026," ",1,1
733,17,531800100200000020002," ",2,1
734,17,531800100200001990177," ",1,1
735,17,531800100200000210020," ",4,1
736,17,531800100200001230116," ",1,1
737,17,531701600300001830153," ",4,1
738,17,531701600300000280022," ",1,1
739,17,531701600300002250192," ",4,1
740,17,531701600300001200095," ",4,1
741,17,531701600300002040174," ",4,2
742,17,531701600300000360029," ",1,1
743,17,531701600300001410114," ",4,2
744,17,531701600300000490041," ",4,1
745,17,531701600300001620133," ",4,1
746,17,531701600300000158001," ",4,1
747,17,531701600300000990075," ",4,2
748,17,531701600300002670218," ",4,1
749,17,531701600300000570048," ",4,1
750,17,531701100300101070100," ",1,2
751,17,531701100300102120180," ",2,1
752,17,531701100300102540216," ",4,2
753,17,531701100300101490137," ",4,1
754,17,531701100300103170274," ",4,1
755,17,531701100300100860081," ",4,1
756,17,531701100300102960254," ",4,2
