RDMD_ID,Region,"Household ID","J1 - Family's main source of water supply","WS1 - Family's main source of drinking water","WS2 - Family's main source of water used for other purposes"
488,17,590701100300101390128,01,72,11
489,17,590701100300102660248,01,72,11
490,17,590701100300101238003,01,72,11
491,17,590701100300101700156,01,11,"  "
492,17,590700800000003248001,04,72,21
493,17,590700800000001720153,04,21,"  "
494,17,590700800000000440039,04,21,"  "
495,17,590700800000000600054,04,21,"  "
496,17,590700800000002480221,04,21,"  "
497,17,590700800000000020002,04,21,"  "
498,17,590700800000003050275,04,72,21
499,17,590700800000000400036,04,21,"  "
500,17,590700800000002290204,04,21,"  "
501,17,590700800000002100186,04,21,"  "
502,17,590700800000001360120,04,72,21
503,17,590700800000000790068,04,72,11
504,17,590700800000002670240,04,21,"  "
505,17,590700800000000190017,04,72,21
506,17,590700800000000980084,04,72,21
507,17,590700800000001918002,04,21,"  "
508,17,590700800000001540137,04,72,21
509,17,590700500000000220021,04,72,11
510,17,590700500000003530316,04,21,"  "
511,17,590700500000000230022,04,72,11
512,17,590700500000002230199,04,21,"  "
513,17,590700500000000920085,04,21,"  "
514,17,590700500000001250114,04,72,21
515,17,590700500000003218001,04,21,"  "
516,17,590700500000001900170,04,72,21
517,17,590700500000001580142,04,72,11
518,17,590700500000000590055,04,72,11
519,17,590700500000003860349,04,21,"  "
520,17,590700500000002880257,04,72,21
521,17,590700400200000580056,04,72,21
522,17,590700400200000860081,04,21,"  "
523,17,590700400200001980177,01,72,11
524,17,590700400200000720068,04,31,"  "
525,17,590700400200001280117,04,72,21
526,17,590700400200000440042,04,72,31
527,17,590700400200000280027,01,72,11
528,17,590700400200001560139,04,21,"  "
529,17,590700400200001700152,01,72,11
530,17,590700400200001000094,04,21,"  "
531,17,590700400200001140104,04,21,"  "
532,17,590700400200001840165,01,72,11
533,17,590700400200000070007,04,72,21
534,17,590700400200001428001,04,21,"  "
535,17,590601000000000380036,01,72,11
536,17,590601000000000170015,01,72,11
537,17,590601000000001840169,01,31,"  "
538,17,590601000000001460134,04,31,"  "
539,17,590601000000002220199,01,11,"  "
540,17,590601000000000300028,04,31,"  "
541,17,590601000000000900080,04,31,"  "
542,17,590601000000002410216,01,72,11
543,17,590601000000000098001,01,72,11
544,17,590601000000001090099,01,11,"  "
545,17,590601000000001650152,01,11,"  "
546,17,590601000000002600234,01,72,11
547,17,590601000000000710062,01,11,"  "
548,17,590600800000000770066,01,72,11
549,17,590600800000000450041,01,72,11
550,17,590600800000000290027,01,72,11
551,17,590600800000000130012,01,72,11
552,17,590600500000000050004,01,72,11
553,17,590600500000000600056,01,72,11
554,17,590600500000000230021,01,11,"  "
555,17,590600500000000760072,01,72,11
556,17,590600500000000420039,01,11,"  "
557,17,590600500000000440041,01,72,11
